AL,35004
AK,99502
AK,99503
AK,99504
AR,72123
AZ,85015
CA,90210
CO,80124
CT,06320
DE,19801
DC,20001
FL,33330
GA,30301
HI,96740
IA,50010
IA,50241
ID,83201
IL,60601
IL,62723
IN,46011
KS,66213
KY,40048
LA,70062
MA,02140
MD,20678
ME,04011
MI,48640
MN,55011
MS,38618
MO,64421
MO,63013
MT,59030
NC,27006
ND,58017
NE,68002
NH,03033
NJ,07003
NM,87002
NV,89199
NY,10466
OH,44399
OH,45070
OK,73031
OR,97011
PA,17839
PA,19031
RI,02806
SC,29484
SD,57003
TN,38136
TX,77651
UT,84001
VA,22027
VA,23306
VT,05001
WA,98002
WA,98661
WA,99105
WI,53785
WI,54221
WV,24701
WY,83110
